Country Name,Year,Primary Enrollment,GDP
Belgium,2001,771889.0,3.96000003814697
Belgium,2001,771889.0,0.540000021457672
Belgium,2001,771889.0,1.98000001907349
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,84.94
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,8.14988804
Belgium,2001,771889.0,1879.93481445
Belgium,2001,771889.0,2352.50561523
Belgium,2001,771889.0,0.0
Belgium,2001,771889.0,0.0
Belgium,2001,771889.0,10.1
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,1.11653308564468
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,0.0
Belgium,2001,771889.0,0.0
Belgium,2001,771889.0,
Belgium,2001,771889.0,66.2992287435371
Belgium,2001,771889.0,66.2984721275927
Belgium,2001,771889.0,75.33213043
Belgium,2001,771889.0,6.13948441
Belgium,2001,771889.0,12.43329906
Belgium,2001,771889.0,1416.19480533
Belgium,2001,771889.0,1772.19262285
Belgium,2001,771889.0,24.66787338
Belgium,2001,771889.0,463.73992128
Belgium,2001,771889.0,580.31314924
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,
Belgium,2001,771889.0,8267.18721595245
Belgium,2001,771889.0,4.9428883970592
Belgium,2001,771889.0,16.2354677045969
